ds,y
2016-05-01 00:00:00,897
2016-05-01 01:00:00,667
2016-05-01 02:00:00,516
2016-05-01 03:00:00,258
2016-05-01 04:00:00,115
2016-05-01 05:00:00,113
2016-05-01 06:00:00,129
2016-05-01 07:00:00,193
2016-05-01 08:00:00,325
2016-05-01 09:00:00,652
2016-05-01 10:00:00,1251
2016-05-01 11:00:00,1870
2016-05-01 12:00:00,2245
2016-05-01 13:00:00,2699
2016-05-01 14:00:00,2795
2016-05-01 15:00:00,2581
2016-05-01 16:00:00,2276
2016-05-01 17:00:00,2075
2016-05-01 18:00:00,1773
2016-05-01 19:00:00,1276
2016-05-01 20:00:00,948
2016-05-01 21:00:00,697
2016-05-01 22:00:00,429
2016-05-01 23:00:00,276
2016-05-02 00:00:00,169
2016-05-02 01:00:00,62
2016-05-02 02:00:00,36
2016-05-02 03:00:00,25
2016-05-02 04:00:00,40
2016-05-02 05:00:00,77
2016-05-02 06:00:00,133
2016-05-02 07:00:00,451
2016-05-02 08:00:00,1189
2016-05-02 09:00:00,1234
2016-05-02 10:00:00,1605
2016-05-02 11:00:00,2184
2016-05-02 12:00:00,3317
2016-05-02 13:00:00,3585
2016-05-02 14:00:00,2960
2016-05-02 15:00:00,2947
2016-05-02 16:00:00,2899
2016-05-02 17:00:00,3077
2016-05-02 18:00:00,2231
2016-05-02 19:00:00,1431
2016-05-02 20:00:00,980
2016-05-02 21:00:00,703
2016-05-02 22:00:00,419
2016-05-02 23:00:00,250
2016-05-03 00:00:00,110
2016-05-03 01:00:00,83
2016-05-03 02:00:00,38
2016-05-03 03:00:00,31
2016-05-03 04:00:00,24
2016-05-03 05:00:00,93
2016-05-03 06:00:00,203
2016-05-03 07:00:00,466
2016-05-03 08:00:00,1214
2016-05-03 09:00:00,1194
2016-05-03 10:00:00,1516
2016-05-03 11:00:00,2023
2016-05-03 12:00:00,3180
2016-05-03 13:00:00,3311
2016-05-03 14:00:00,2870
2016-05-03 15:00:00,2739
2016-05-03 16:00:00,2539
2016-05-03 17:00:00,2616
2016-05-03 18:00:00,2242
2016-05-03 19:00:00,1472
2016-05-03 20:00:00,1072
2016-05-03 21:00:00,844
2016-05-03 22:00:00,571
2016-05-03 23:00:00,305
2016-05-04 00:00:00,158
2016-05-04 01:00:00,82
2016-05-04 02:00:00,40
2016-05-04 03:00:00,33
2016-05-04 04:00:00,33
2016-05-04 05:00:00,73
2016-05-04 06:00:00,182
2016-05-04 07:00:00,496
2016-05-04 08:00:00,1246
2016-05-04 09:00:00,1251
2016-05-04 10:00:00,1802
2016-05-04 11:00:00,2195
2016-05-04 12:00:00,3270
2016-05-04 13:00:00,3724
2016-05-04 14:00:00,3056
2016-05-04 15:00:00,3016
2016-05-04 16:00:00,3130
2016-05-04 17:00:00,3347
2016-05-04 18:00:00,2623
2016-05-04 19:00:00,1711
2016-05-04 20:00:00,1243
2016-05-04 21:00:00,891
2016-05-04 22:00:00,616
2016-05-04 23:00:00,307
2016-05-05 00:00:00,155
2016-05-05 01:00:00,73
2016-05-05 02:00:00,36
2016-05-05 03:00:00,18
2016-05-05 04:00:00,39
2016-05-05 05:00:00,68
2016-05-05 06:00:00,188
2016-05-05 07:00:00,528
2016-05-05 08:00:00,1198
2016-05-05 09:00:00,1213
2016-05-05 10:00:00,1632
2016-05-05 11:00:00,2286
2016-05-05 12:00:00,3228
2016-05-05 13:00:00,3578
2016-05-05 14:00:00,3143
2016-05-05 15:00:00,3118
2016-05-05 16:00:00,3151
2016-05-05 17:00:00,3651
2016-05-05 18:00:00,3090
2016-05-05 19:00:00,1940
2016-05-05 20:00:00,1714
2016-05-05 21:00:00,1286
2016-05-05 22:00:00,869
2016-05-05 23:00:00,521
2016-05-06 00:00:00,224
2016-05-06 01:00:00,149
2016-05-06 02:00:00,92
2016-05-06 03:00:00,100
2016-05-06 04:00:00,50
2016-05-06 05:00:00,97
2016-05-06 06:00:00,186
2016-05-06 07:00:00,551
2016-05-06 08:00:00,1100
2016-05-06 09:00:00,1295
2016-05-06 10:00:00,1951
2016-05-06 11:00:00,2432
2016-05-06 12:00:00,3609
2016-05-06 13:00:00,3823
2016-05-06 14:00:00,3381
2016-05-06 15:00:00,3298
2016-05-06 16:00:00,3503
2016-05-06 17:00:00,4093
2016-05-06 18:00:00,3898
2016-05-06 19:00:00,3124
2016-05-06 20:00:00,2858
2016-05-06 21:00:00,2017
2016-05-06 22:00:00,1588
2016-05-06 23:00:00,1629
2016-05-07 00:00:00,817
2016-05-07 01:00:00,602
2016-05-07 02:00:00,421
2016-05-07 03:00:00,266
2016-05-07 04:00:00,132
2016-05-07 05:00:00,104
2016-05-07 06:00:00,125
2016-05-07 07:00:00,255
2016-05-07 08:00:00,436
2016-05-07 09:00:00,1096
2016-05-07 10:00:00,1786
2016-05-07 11:00:00,2771
2016-05-07 12:00:00,3390
2016-05-07 13:00:00,3713
2016-05-07 14:00:00,3553
2016-05-07 15:00:00,3620
2016-05-07 16:00:00,3594
2016-05-07 17:00:00,3359
2016-05-07 18:00:00,2478
2016-05-07 19:00:00,2171
2016-05-07 20:00:00,2094
2016-05-07 21:00:00,1553
