"month","animal","state","count"
1976 Jul,"Bulls, bullocks and steers","Australian Capital Territory",2300
1976 Aug,"Bulls, bullocks and steers","Australian Capital Territory",2100
1976 Sep,"Bulls, bullocks and steers","Australian Capital Territory",2100
1976 Oct,"Bulls, bullocks and steers","Australian Capital Territory",1900
1976 Nov,"Bulls, bullocks and steers","Australian Capital Territory",2100
1976 Dec,"Bulls, bullocks and steers","Australian Capital Territory",1800
1977 Jan,"Bulls, bullocks and steers","Australian Capital Territory",1800
1977 Feb,"Bulls, bullocks and steers","Australian Capital Territory",1900
1977 Mar,"Bulls, bullocks and steers","Australian Capital Territory",2700
1977 Apr,"Bulls, bullocks and steers","Australian Capital Territory",2300
1977 May,"Bulls, bullocks and steers","Australian Capital Territory",2500
1977 Jun,"Bulls, bullocks and steers","Australian Capital Territory",2900
1977 Jul,"Bulls, bullocks and steers","Australian Capital Territory",2400
1977 Aug,"Bulls, bullocks and steers","Australian Capital Territory",2400
1977 Sep,"Bulls, bullocks and steers","Australian Capital Territory",2200
1977 Oct,"Bulls, bullocks and steers","Australian Capital Territory",2300
1977 Nov,"Bulls, bullocks and steers","Australian Capital Territory",2400
1977 Dec,"Bulls, bullocks and steers","Australian Capital Territory",2200
1978 Jan,"Bulls, bullocks and steers","Australian Capital Territory",2400
1978 Feb,"Bulls, bullocks and steers","Australian Capital Territory",2600
1978 Mar,"Bulls, bullocks and steers","Australian Capital Territory",2800
1978 Apr,"Bulls, bullocks and steers","Australian Capital Territory",2600
1978 May,"Bulls, bullocks and steers","Australian Capital Territory",2900
1978 Jun,"Bulls, bullocks and steers","Australian Capital Territory",3000
1978 Jul,"Bulls, bullocks and steers","Australian Capital Territory",2500
1978 Aug,"Bulls, bullocks and steers","Australian Capital Territory",2800
1978 Sep,"Bulls, bullocks and steers","Australian Capital Territory",2600
1978 Oct,"Bulls, bullocks and steers","Australian Capital Territory",2800
1978 Nov,"Bulls, bullocks and steers","Australian Capital Territory",2700
1978 Dec,"Bulls, bullocks and steers","Australian Capital Territory",2400
1979 Jan,"Bulls, bullocks and steers","Australian Capital Territory",2400
1979 Feb,"Bulls, bullocks and steers","Australian Capital Territory",2600
1979 Mar,"Bulls, bullocks and steers","Australian Capital Territory",2300
1979 Apr,"Bulls, bullocks and steers","Australian Capital Territory",1700
1979 May,"Bulls, bullocks and steers","Australian Capital Territory",2000
1979 Jun,"Bulls, bullocks and steers","Australian Capital Territory",2000
