item,ds,y
15036,2010-12-02,48
15036,2010-12-03,15
15036,2010-12-05,12
15036,2010-12-06,4
15036,2010-12-08,13
15036,2010-12-09,1
15036,2010-12-10,3
15036,2010-12-13,4
15036,2010-12-14,12
15036,2010-12-16,12
15036,2010-12-17,7
15036,2010-12-20,6
15036,2010-12-21,24
15036,2011-01-06,13
15036,2011-01-07,5
15036,2011-01-10,19
15036,2011-01-11,12
15036,2011-01-12,4
15036,2011-01-13,121
15036,2011-01-14,3
15036,2011-01-17,15
15036,2011-01-19,12
15036,2011-01-23,12
15036,2011-01-24,3
15036,2011-01-25,48
15036,2011-01-26,12
15036,2011-01-27,48
15036,2011-01-28,1
15036,2011-01-31,649
15036,2011-02-01,36
15036,2011-02-02,4
15036,2011-02-03,12
15036,2011-02-04,1212
15036,2011-02-08,1
15036,2011-02-09,31
15036,2011-02-13,36
15036,2011-02-14,4
15036,2011-02-15,60
15036,2011-02-16,637
15036,2011-02-17,24
15036,2011-02-18,13
15036,2011-02-20,24
15036,2011-02-22,24
15036,2011-02-23,20
15036,2011-02-24,36
15036,2011-02-25,48
15036,2011-02-28,38
15036,2011-03-01,16
15036,2011-03-03,7
15036,2011-03-04,30
15036,2011-03-07,45
15036,2011-03-08,4
15036,2011-03-09,84
15036,2011-03-10,224
15036,2011-03-13,12
15036,2011-03-14,12
15036,2011-03-16,48
15036,2011-03-17,634
15036,2011-03-18,612
15036,2011-03-20,36
15036,2011-03-21,24
15036,2011-03-22,51
15036,2011-03-27,24
15036,2011-03-28,28
15036,2011-03-30,1212
15036,2011-03-31,1
15036,2011-04-01,12
15036,2011-04-04,6
15036,2011-04-07,48
15036,2011-04-08,93
15036,2011-04-11,12
15036,2011-04-12,12
15036,2011-04-13,684
15036,2011-04-14,24
15036,2011-04-15,12
15036,2011-04-17,120
15036,2011-04-18,47
15036,2011-04-19,78
15036,2011-04-20,48
15036,2011-04-21,1
15036,2011-04-26,615
15036,2011-04-27,94
15036,2011-04-28,60
15036,2011-05-01,24
15036,2011-05-03,221
15036,2011-05-05,665
15036,2011-05-06,74
15036,2011-05-08,12
15036,2011-05-09,306
15036,2011-05-10,266
15036,2011-05-11,70
15036,2011-05-12,939
15036,2011-05-13,25
15036,2011-05-15,12
15036,2011-05-16,124
15036,2011-05-17,601
15036,2011-05-18,720
15036,2011-05-19,78
15036,2011-05-20,12
15036,2011-05-22,108
15036,2011-05-23,60
15036,2011-05-24,118
15036,2011-05-25,15
15036,2011-05-26,144
15036,2011-05-27,48
15036,2011-05-29,12
15036,2011-05-31,30
15036,2011-06-01,26
15036,2011-06-02,97
15036,2011-06-03,40
15036,2011-06-06,27
15036,2011-06-07,136
15036,2011-06-08,672
15036,2011-06-09,762
15036,2011-06-10,1
15036,2011-06-12,12
15036,2011-06-13,83
15036,2011-06-14,68
15036,2011-06-15,12
15036,2011-06-16,1026
15036,2011-06-17,36
15036,2011-06-19,60
15036,2011-06-20,18
15036,2011-06-21,38
15036,2011-06-22,36
15036,2011-06-23,49
15036,2011-06-24,16
15036,2011-06-26,12
15036,2011-06-27,72
15036,2011-06-28,12
15036,2011-06-29,5
15036,2011-06-30,30
15036,2011-07-01,24
15036,2011-07-03,24
15036,2011-07-04,35
15036,2011-07-05,1846
15036,2011-07-06,38
15036,2011-07-07,19
15036,2011-07-11,156
15036,2011-07-12,36
15036,2011-07-14,97
15036,2011-07-15,3
15036,2011-07-17,60
15036,2011-07-18,173
15036,2011-07-19,12
15036,2011-07-20,73
15036,2011-07-21,72
15036,2011-07-22,24
15036,2011-07-24,156
15036,2011-07-25,9
15036,2011-07-26,5
15036,2011-07-29,624
15036,2011-08-01,48
15036,2011-08-02,12
15036,2011-08-04,745
15036,2011-08-05,114
15036,2011-08-07,24
15036,2011-08-08,17
15036,2011-08-09,3
15036,2011-08-10,50
15036,2011-08-11,48
15036,2011-08-12,150
15036,2011-08-16,12
15036,2011-08-17,12
15036,2011-08-18,24
15036,2011-08-21,12
15036,2011-08-23,24
15036,2011-08-25,12
15036,2011-08-28,24
15036,2011-08-30,93
15036,2011-08-31,3
15036,2011-09-01,48
15036,2011-09-02,13
15036,2011-09-04,24
15036,2011-09-06,24
15036,2011-09-07,17
15036,2011-09-08,126
15036,2011-09-09,48
15036,2011-09-12,12
15036,2011-09-13,40
15036,2011-09-14,12
15036,2011-09-20,24
15036,2011-09-21,45
15036,2011-09-22,24
15036,2011-09-27,2
15036,2011-09-28,14
15036,2011-09-29,14
15036,2011-10-03,96
15036,2011-10-04,601
15036,2011-10-05,12
15036,2011-10-06,12
15036,2011-10-10,62
15036,2011-10-11,16
15036,2011-10-12,36
15036,2011-10-13,84
15036,2011-10-14,26
15036,2011-10-17,87
15036,2011-10-18,5
15036,2011-10-19,18
15036,2011-10-20,48
15036,2011-10-21,36
15036,2011-10-24,4
15036,2011-10-25,25
15036,2011-10-27,24
15036,2011-10-30,48
15036,2011-10-31,15
15036,2011-11-01,36
15036,2011-11-02,27
15036,2011-11-03,3
15036,2011-11-04,2
15036,2011-11-08,9
15036,2011-11-09,48
15036,2011-11-10,12
15036,2011-11-11,14
15036,2011-11-13,24
15036,2011-11-15,30
15036,2011-11-16,61
15036,2011-11-17,1
15036,2011-11-18,12
15036,2011-11-21,24
15036,2011-11-22,2
15036,2011-11-23,84
15036,2011-11-24,113
15036,2011-11-25,14
15036,2011-11-28,84
15036,2011-11-29,2
15036,2011-11-30,2
15036,2011-12-01,1
15036,2011-12-02,54
15036,2011-12-05,5
15036,2011-12-08,8
15036,2011-12-09,1
17003,2010-12-01,39
17003,2010-12-02,36
17003,2010-12-05,723
17003,2010-12-06,185
17003,2010-12-07,3
17003,2010-12-09,39
17003,2010-12-10,36
17003,2010-12-13,17
17003,2010-12-15,36
17003,2010-12-16,36
17003,2010-12-17,1
17003,2011-01-05,828
17003,2011-01-09,36
17003,2011-01-10,2
17003,2011-01-12,6
17003,2011-01-17,3
17003,2011-01-18,720
17003,2011-01-19,36
17003,2011-01-20,72
17003,2011-01-26,1440
17003,2011-01-31,38
17003,2011-02-01,36
17003,2011-02-02,72
17003,2011-02-14,36
17003,2011-02-15,36
17003,2011-02-17,38
17003,2011-02-18,36
17003,2011-02-20,144
17003,2011-03-01,108
17003,2011-03-02,36
17003,2011-03-09,144
17003,2011-03-13,108
17003,2011-03-15,36
17003,2011-03-16,720
17003,2011-03-17,720
17003,2011-03-18,720
17003,2011-03-21,12
17003,2011-03-23,36
17003,2011-03-29,756
17003,2011-04-03,13
17003,2011-04-05,110
17003,2011-04-06,36
17003,2011-04-11,1
17003,2011-04-14,36
17003,2011-04-15,36
17003,2011-04-19,7
17003,2011-04-21,4
17003,2011-04-26,15
17003,2011-04-27,108
17003,2011-04-28,144
17003,2011-05-03,6
17003,2011-05-04,36
17003,2011-05-06,36
17003,2011-05-09,24
17003,2011-05-12,144
17003,2011-05-13,342
17003,2011-05-16,36
17003,2011-05-18,756
17003,2011-05-23,720
17003,2011-05-24,1
17003,2011-05-25,72
17003,2011-05-31,36
17003,2011-06-01,324
17003,2011-06-07,85
17003,2011-06-08,756
17003,2011-06-09,36
17003,2011-06-12,36
17003,2011-06-15,720
17003,2011-06-19,117
17003,2011-06-21,144
17003,2011-06-22,720
17003,2011-06-27,14
17003,2011-06-29,38
17003,2011-07-01,36
17003,2011-07-04,180
17003,2011-07-06,36
17003,2011-07-07,30
17003,2011-07-10,72
17003,2011-07-12,36
17003,2011-07-14,36
17003,2011-07-15,216
17003,2011-07-17,724
17003,2011-07-19,144
17003,2011-07-20,36
17003,2011-07-21,1
17003,2011-07-24,108
17003,2011-07-26,149
17003,2011-08-01,72
17003,2011-08-02,1
17003,2011-08-03,36
17003,2011-08-05,1
17003,2011-08-07,36
17003,2011-08-10,36
17003,2011-08-11,36
17003,2011-08-12,72
17003,2011-08-16,42
17003,2011-08-18,36
17003,2011-08-23,108
17003,2011-08-24,760
17003,2011-08-25,36
17003,2011-08-28,36
17003,2011-08-30,2
17003,2011-08-31,180
17003,2011-09-01,108
17003,2011-09-02,1
17003,2011-09-07,72
17003,2011-09-08,108
17003,2011-09-14,1
17003,2011-09-15,72
17003,2011-09-16,36
17003,2011-09-19,720
17003,2011-09-22,108
17003,2011-09-25,29
17003,2011-09-26,108
17003,2011-09-28,760
17003,2011-09-29,36
17003,2011-10-02,27
17003,2011-10-03,36
17003,2011-10-05,36
17003,2011-10-07,252
17003,2011-10-09,52
17003,2011-10-10,36
17003,2011-10-14,36
17003,2011-10-18,108
17003,2011-10-20,36
17003,2011-10-23,60
17003,2011-10-25,54
17003,2011-10-27,1476
17003,2011-10-30,154
17003,2011-10-31,37
17003,2011-11-04,27
17003,2011-11-06,36
17003,2011-11-09,9
17003,2011-11-10,36
17003,2011-11-13,64
17003,2011-11-14,190
17003,2011-11-16,87
17003,2011-11-18,2
17003,2011-11-20,36
17003,2011-11-21,108
17003,2011-11-22,130
17003,2011-11-23,4
17003,2011-11-24,51
17003,2011-11-25,37
17003,2011-11-27,144
17003,2011-11-29,38
17003,2011-11-30,72
17003,2011-12-01,14
17003,2011-12-02,1
17003,2011-12-04,5
17003,2011-12-05,17
17003,2011-12-06,114
17003,2011-12-07,70
17003,2011-12-08,76
20724,2010-12-01,4
20724,2010-12-02,21
20724,2010-12-03,39
20724,2010-12-05,27
20724,2010-12-06,12
20724,2010-12-07,80
20724,2010-12-08,47
20724,2010-12-09,16
20724,2010-12-10,118
20724,2010-12-12,11
20724,2010-12-13,28
20724,2010-12-14,105
20724,2010-12-15,21
20724,2010-12-16,30
20724,2010-12-17,26
20724,2010-12-20,22
20724,2010-12-21,135
20724,2010-12-22,12
20724,2010-12-23,4
20724,2011-01-04,40
20724,2011-01-05,1
20724,2011-01-06,58
20724,2011-01-07,131
20724,2011-01-09,50
20724,2011-01-10,25
20724,2011-01-11,61
20724,2011-01-12,16
20724,2011-01-13,32
20724,2011-01-14,242
20724,2011-01-16,10
20724,2011-01-17,13
20724,2011-01-18,48
20724,2011-01-19,21
