ds,y
2009-05-01,45185
2009-05-02,38856
2009-05-03,31812
2009-05-04,34983
2009-05-05,34359
2009-05-06,35649
2009-05-07,37622
2009-05-08,44638
2009-05-09,38143
2009-05-10,25923
2009-05-11,32248
2009-05-12,32019
2009-05-13,33749
2009-05-14,37207
2009-05-15,43670
2009-05-16,36366
2009-05-17,29564
2009-05-18,33062
2009-05-19,33093
2009-05-20,33567
2009-05-21,34456
2009-05-22,43843
2009-05-23,38028
2009-05-24,27269
2009-05-25,30496
2009-05-26,32460
2009-05-27,33565
2009-05-28,34324
2009-05-29,41225
2009-05-30,35408
2009-05-31,32336
2009-06-01,31114
2009-06-02,31054
2009-06-03,33780
2009-06-04,37731
2009-06-05,41699
2009-06-06,38249
2009-06-07,32683
2009-06-08,24194
2009-06-09,27866
2009-06-10,28906
2009-06-11,33262
2009-06-12,41014
2009-06-13,33847
2009-06-14,24906
2009-06-15,29970
2009-06-16,29666
2009-06-17,33324
2009-06-18,35267
2009-06-19,42538
2009-06-20,36718
2009-06-21,32259
2009-06-22,31167
2009-06-23,29142
2009-06-24,34101
2009-06-25,35965
2009-06-26,44647
2009-06-27,37455
2009-06-28,29937
2009-06-29,33907
2009-06-30,33489
2009-07-01,36977
2009-07-02,33516
2009-07-03,41585
2009-07-04,37538
2009-07-05,33716
2009-07-06,34884
2009-07-07,35796
2009-07-08,37432
2009-07-09,38765
2009-07-10,43808
2009-07-11,32571
2009-07-12,28583
2009-07-13,30672
2009-07-14,32214
2009-07-15,34705
2009-07-16,36096
2009-07-17,41327
2009-07-18,35397
2009-07-19,36860
2009-07-20,33179
2009-07-21,33195
2009-07-22,31896
2009-07-23,35664
2009-07-24,43217
2009-07-25,37693
2009-07-26,31405
2009-07-27,34519
2009-07-28,32720
2009-07-29,34968
2009-07-30,36214
2009-07-31,42963
2009-08-01,37099
2009-08-02,29464
2009-08-03,33686
2009-08-04,32096
2009-08-05,34725
2009-08-06,35280
2009-08-07,43453
2009-08-08,39257
2009-08-09,29988
2009-08-10,31363
2009-08-11,31077
2009-08-12,33386
2009-08-13,34704
2009-08-14,44254
2009-08-15,39711
2009-08-16,25737
2009-08-17,32053
2009-08-18,31931
2009-08-19,34104
2009-08-20,33930
2009-08-21,41733
2009-08-22,36938
2009-08-23,28861
2009-08-24,29168
2009-08-25,27805
2009-08-26,30998
2009-08-27,35218
2009-08-28,42783
2009-08-29,34413
2009-08-30,26270
2009-08-31,28976
2009-09-01,30459
2009-09-02,33505
2009-09-03,33038
2009-09-04,38526
2009-09-05,35498
2009-09-06,24088
2009-09-07,30350
2009-09-08,29871
2009-09-09,32436
2009-09-10,33470
2009-09-11,41454
2009-09-12,37571
2009-09-13,26061
2009-09-14,30514
2009-09-15,32015
2009-09-16,33725
2009-09-17,29743
2009-09-18,40901
2009-09-19,35918
2009-09-20,29267
2009-09-21,34542
2009-09-22,35207
2009-09-23,37703
2009-09-24,36993
2009-09-25,46439
2009-09-26,32933
2009-09-27,26281
2009-09-28,34394
2009-09-29,36528
2009-09-30,38460
2009-10-01,38231
2009-10-02,42961
2009-10-03,37592
2009-10-04,27721
2009-10-05,31752
2009-10-06,30746
2009-10-07,32957
2009-10-08,34100
2009-10-09,42462
2009-10-10,37060
2009-10-11,32038
2009-10-12,30942
2009-10-13,31694
2009-10-14,31818
2009-10-15,33858
2009-10-16,40864
2009-10-17,35166
2009-10-18,28167
2009-10-19,31484
2009-10-20,31061
2009-10-21,31819
2009-10-22,33428
2009-10-23,41690
2009-10-24,35461
2009-10-25,25458
2009-10-26,31389
2009-10-27,31393
2009-10-28,33646
2009-10-29,36424
2009-10-30,42467
2009-10-31,32835
2009-11-01,26886
2009-11-02,45319
2009-11-03,23640
2009-11-04,34767
2009-11-05,33089
2009-11-06,40778
2009-11-07,34748
2009-11-08,25339
2009-11-09,31071
2009-11-10,31764
2009-11-11,34596
2009-11-12,39806
2009-11-13,46119
2009-11-14,41977
2009-11-15,31674
2009-11-16,35751
2009-11-17,35782
2009-11-18,38056
2009-11-19,38905
2009-11-20,42897
2009-11-21,38448
2009-11-22,26746
2009-11-23,36323
2009-11-24,37738
2009-11-25,37109
2009-11-26,36779
2009-11-27,46307
2009-11-28,36391
2009-11-29,30768
2009-11-30,35539
2009-12-01,36950
2009-12-02,38983
2009-12-03,37640
2009-12-04,46314
2009-12-05,40274
2009-12-06,35063
2009-12-07,37481
2009-12-08,32101
2009-12-09,40241
2009-12-10,40132
2009-12-11,45149
2009-12-12,42589
2009-12-13,33257
2009-12-14,39486
2009-12-15,40757
2009-12-16,35695
2009-12-17,36956
2009-12-18,47426
2009-12-19,39087
2009-12-20,34939
2009-12-21,43511
2009-12-22,43680
2009-12-23,43355
2009-12-24,37310
2009-12-25,18626
2009-12-26,49058
2009-12-27,33399
2009-12-28,34954
2009-12-29,37399
2009-12-30,33824
2009-12-31,43042
2010-01-01,32428
2010-01-02,30370
2010-01-03,26925
2010-01-04,34078
2010-01-05,32848
2010-01-06,34768
2010-01-07,34155
2010-01-08,34786
2010-01-09,27076
2010-01-10,24635
2010-01-11,25064
2010-01-12,26381
2010-01-13,33527
2010-01-14,36604
2010-01-15,41243
2010-01-16,31828
2010-01-17,27633
2010-01-18,32103
2010-01-19,36182
2010-01-20,39002
2010-01-21,39350
2010-01-22,40686
2010-01-23,35142
2010-01-24,33182
2010-01-25,39015
2010-01-26,39021
2010-01-27,38339
2010-01-28,37757
2010-01-29,42061
2010-01-30,33933
2010-01-31,26358
2010-02-01,31174
2010-02-02,28638
2010-02-03,29944
2010-02-04,29299
2010-02-05,39831
2010-02-06,33408
2010-02-07,24960
2010-02-08,29562
2010-02-09,28482
2010-02-10,31685
2010-02-11,30943
2010-02-12,41810
2010-02-13,39487
2010-02-14,39295
2010-02-15,33901
2010-02-16,32717
2010-02-17,33736
2010-02-18,34850
2010-02-19,40848
2010-02-20,33247
2010-02-21,28351
2010-02-22,36379
2010-02-23,39081
2010-02-24,36127
2010-02-25,37483
2010-02-26,41210
2010-02-27,35007
2010-02-28,26949
2010-03-01,34274
2010-03-02,35080
2010-03-03,35678
2010-03-04,36194
2010-03-05,42553
2010-03-06,34090
2010-03-07,34052
2010-03-08,37754
2010-03-09,37660
2010-03-10,36010
2010-03-11,35944
2010-03-12,43553
2010-03-13,39013
2010-03-14,32865
2010-03-15,32713
2010-03-16,33546
2010-03-17,36331
2010-03-18,36090
2010-03-19,38256
2010-03-20,41331
2010-03-21,31033
2010-03-22,32931
2010-03-23,35101
2010-03-24,37124
2010-03-25,39256
2010-03-26,43589
2010-03-27,41664
2010-03-28,34761
2010-03-29,37551
2010-03-30,39236
2010-03-31,40729
2010-04-01,44897
2010-04-02,30296
2010-04-03,41093
2010-04-04,33636
2010-04-05,30051
2010-04-06,40083
2010-04-07,40717
2010-04-08,42792
2010-04-09,47928
2010-04-10,40898
2010-04-11,28519
2010-04-12,34346
2010-04-13,36087
2010-04-14,38010
2010-04-15,39770
2010-04-16,47569
2010-04-17,40712
2010-04-18,32179
