ds,y
2017-06-02,39230
2017-06-03,35290
2017-06-04,27083
2017-06-05,28727
2017-06-06,30315
2017-06-07,31947
2017-06-08,32678
2017-06-09,42988
2017-06-10,38413
2017-06-11,33640
2017-06-12,26918
2017-06-13,30826
2017-06-14,31877
2017-06-15,32900
2017-06-16,40287
2017-06-17,35550
2017-06-18,27752
2017-06-19,30266
2017-06-20,32907
2017-06-21,31454
2017-06-22,34480
2017-06-23,38806
2017-06-24,36749
2017-06-25,29411
2017-06-26,31695
2017-06-27,32049
2017-06-28,33322
2017-06-29,32774
2017-06-30,40760
2017-07-01,36464
2017-07-02,30679
2017-07-03,33094
2017-07-04,35595
2017-07-05,38035
2017-07-06,39145
2017-07-07,48176
2017-07-08,41213
2017-07-09,33078
2017-07-10,35946
2017-07-11,36472
2017-07-12,37371
2017-07-13,38761
2017-07-14,41629
2017-07-15,38953
2017-07-16,26256
2017-07-17,29875
2017-07-18,29426
2017-07-19,30454
2017-07-20,32189
2017-07-21,38774
2017-07-22,32602
2017-07-23,26479
2017-07-24,31699
2017-07-25,30461
2017-07-26,32349
2017-07-27,33470
2017-07-28,41767
2017-07-29,38623
2017-07-30,30904
2017-07-31,30204
2017-08-01,30472
2017-08-02,31816
2017-08-03,30143
2017-08-04,42407
2017-08-05,38091
2017-08-06,26501
2017-08-07,29673
2017-08-08,33094
2017-08-09,32863
2017-08-10,33610
2017-08-11,40093
2017-08-12,39040
2017-08-13,34350
2017-08-14,31024
2017-08-15,30195
2017-08-16,33293
2017-08-17,31748
2017-08-18,35115
2017-08-19,37146
2017-08-20,33220
2017-08-21,27667
2017-08-22,30552
2017-08-23,28746
2017-08-24,32432
2017-08-25,38925
2017-08-26,45181
2017-08-27,26646
2017-08-28,29415
2017-08-29,30051
2017-08-30,31619
2017-08-31,33335
2017-09-01,41259
2017-09-02,37216
2017-09-03,25834
2017-09-04,27306
2017-09-05,29313
2017-09-06,29931
2017-09-07,31965
2017-09-08,38163
2017-09-09,33767
2017-09-10,27184
2017-09-11,29207
2017-09-12,29790
2017-09-13,30616
2017-09-14,31900
2017-09-15,36408
2017-09-16,35226
2017-09-17,29298
2017-09-18,29681
2017-09-19,29026
2017-09-20,32496
2017-09-21,32907
2017-09-22,40738
2017-09-23,41764
2017-09-24,28092
2017-09-25,31805
2017-09-26,35380
2017-09-27,37885
2017-09-28,40143
2017-09-29,37015
2017-09-30,33680
2017-10-01,29456
2017-10-02,34470
2017-10-03,34369
2017-10-04,36744
2017-10-05,35355
2017-10-06,40236
2017-10-07,35455
2017-10-08,27599
2017-10-09,27996
2017-10-10,31668
2017-10-11,31523
2017-10-12,33734
2017-10-13,39484
2017-10-14,38312
2017-10-15,31869
2017-10-16,30904
2017-10-17,32338
2017-10-18,32756
2017-10-19,31646
2017-10-20,40941
2017-10-21,35043
2017-10-22,30059
2017-10-23,31039
2017-10-24,31402
2017-10-25,32920
2017-10-26,35068
2017-10-27,43369
2017-10-28,35711
2017-10-29,27530
2017-10-30,27907
2017-10-31,30298
2017-11-01,31988
2017-11-02,34092
2017-11-03,39169
2017-11-04,43052
2017-11-05,29028
2017-11-06,42047
2017-11-07,25589
2017-11-08,36989
2017-11-09,34504
2017-11-10,42942
2017-11-11,35870
2017-11-12,30049
2017-11-13,32196
2017-11-14,32222
2017-11-15,34197
2017-11-16,35279
2017-11-17,47399
2017-11-18,37529
2017-11-19,34185
2017-11-20,35252
2017-11-21,37347
2017-11-22,36846
2017-11-23,38951
2017-11-24,50989
2017-11-25,39334
2017-11-26,36244
2017-11-27,36761
2017-11-28,36369
2017-11-29,31836
2017-11-30,35346
2017-12-01,34484
2017-12-02,24061
2017-12-03,29718
2017-12-04,35274
2017-12-05,38288
2017-12-06,42378
2017-12-07,37749
2017-12-08,47848
2017-12-09,46207
2017-12-10,39975
2017-12-11,41462
2017-12-12,41633
2017-12-13,40192
2017-12-14,44674
2017-12-15,49985
2017-12-16,48413
2017-12-17,41197
2017-12-18,41784
2017-12-19,38603
2017-12-20,45806
2017-12-21,50222
2017-12-22,50427
2017-12-23,43355
2017-12-24,40830
2017-12-25,30544
2017-12-26,50186
2017-12-27,37422
2017-12-28,37173
2017-12-29,37661
2017-12-30,35722
2017-12-31,41683
2018-01-01,33817
2018-01-02,35434
2018-01-03,36414
2018-01-04,36576
2018-01-05,37924
2018-01-06,25824
2018-01-07,30378
2018-01-08,35708
2018-01-09,36700
2018-01-10,37463
2018-01-11,34076
2018-01-12,35581
2018-01-13,31726
2018-01-14,32373
2018-01-15,35917
2018-01-16,37575
2018-01-17,40496
2018-01-18,34703
2018-01-19,35644
2018-01-20,39008
2018-01-21,31307
2018-01-22,37255
2018-01-23,38388
2018-01-24,40662
2018-01-25,41688
2018-01-26,41773
2018-01-27,34072
2018-01-28,23554
2018-01-29,26667
2018-01-30,32726
2018-01-31,33005
2018-02-01,34156
2018-02-02,38033
2018-02-03,37296
2018-02-04,30648
2018-02-05,32913
2018-02-06,33455
2018-02-07,32373
2018-02-08,35865
2018-02-09,42287
2018-02-10,39063
2018-02-11,31862
2018-02-12,34195
2018-02-13,35202
2018-02-14,37897
2018-02-15,36978
2018-02-16,43738
2018-02-17,52074
2018-02-18,45421
2018-02-19,34939
2018-02-20,34733
2018-02-21,35917
2018-02-22,38072
2018-02-23,42577
2018-02-24,36858
2018-02-25,34237
2018-02-26,35253
2018-02-27,34319
2018-02-28,34718
2018-03-01,37669
2018-03-02,42956
2018-03-03,38090
2018-03-04,29905
2018-03-05,33333
2018-03-06,34234
2018-03-07,36621
2018-03-08,39476
2018-03-09,44611
2018-03-10,42381
2018-03-11,43815
2018-03-12,36683
2018-03-13,34396
2018-03-14,36667
2018-03-15,37728
2018-03-16,42097
2018-03-17,36340
2018-03-18,27684
2018-03-19,33190
2018-03-20,34940
2018-03-21,36174
2018-03-22,38253
2018-03-23,42333
2018-03-24,36660
2018-03-25,33582
2018-03-26,33919
2018-03-27,35274
2018-03-28,35021
2018-03-29,41940
2018-03-30,35229
2018-03-31,42745
2018-04-01,35502
2018-04-02,31072
2018-04-03,38496
2018-04-04,39199
2018-04-05,41851
2018-04-06,46617
2018-04-07,41020
2018-04-08,32519
2018-04-09,38277
2018-04-10,44300
2018-04-11,42147
2018-04-12,43379
2018-04-13,48681
2018-04-14,35147
2018-04-15,30909
2018-04-16,35702
2018-04-17,39332
2018-04-18,40047
2018-04-19,40842
2018-04-20,46452
2018-04-21,43061
2018-04-22,33785
2018-04-23,36865
2018-04-24,38969
2018-04-25,39034
2018-04-26,36100
2018-04-27,43440
2018-04-28,37100
2018-04-29,30246
2018-04-30,31966
2018-05-01,32626
2018-05-02,34078
2018-05-03,35665
2018-05-04,40078
2018-05-05,38020
2018-05-06,30679
2018-05-07,32317
2018-05-08,32446
2018-05-09,36992
2018-05-10,29853
2018-05-11,31773
2018-05-12,37706
2018-05-13,28945
2018-05-14,33067
2018-05-15,29829
2018-05-16,32404
2018-05-17,32504
2018-05-18,39116
2018-05-19,39529
2018-05-20,28052
2018-05-21,30039
2018-05-22,30342
2018-05-23,33017
2018-05-24,34099
2018-05-25,40312
2018-05-26,36397
2018-05-27,28187
2018-05-28,30687
2018-05-29,30932
2018-05-30,30707
2018-05-31,32916
2018-06-01,38868
2018-06-02,38012
2018-06-03,27674
2018-06-04,29662
2018-06-05,29629
2018-06-06,34356
2018-06-07,32586
2018-06-08,35227
2018-06-09,39112
2018-06-10,33321
2018-06-11,28597
2018-06-12,30138
2018-06-13,29667
2018-06-14,31407
2018-06-15,34525
2018-06-16,34933
2018-06-17,21953
2018-06-18,29960
2018-06-19,31174
2018-06-20,32014
2018-06-21,33745
2018-06-22,37253
2018-06-23,32416
2018-06-24,27075
2018-06-25,30069
2018-06-26,30591
2018-06-27,31445
2018-06-28,31736
2018-06-29,37106
2018-06-30,34944
2018-07-01,29207
2018-07-02,32062
2018-07-03,32536
2018-07-04,34570
2018-07-05,36361
2018-07-06,44117
2018-07-07,33532
2018-07-08,29703
2018-07-09,34944
2018-07-10,35162
2018-07-11,35598
2018-07-12,38593
2018-07-13,43523
2018-07-14,37287
2018-07-15,28245
2018-07-16,31862
2018-07-17,31440
2018-07-18,33572
2018-07-19,32148
2018-07-20,38661
2018-07-21,36675
2018-07-22,28152
2018-07-23,29134
2018-07-24,28947
2018-07-25,33583
2018-07-26,34390
2018-07-27,41700
2018-07-28,41907
2018-07-29,30244
2018-07-30,29760
2018-07-31,30201
2018-08-01,32309
2018-08-02,34583
2018-08-03,37668
2018-08-04,36378
2018-08-05,28820
2018-08-06,30364
2018-08-07,32197
2018-08-08,32236
2018-08-09,34046
2018-08-10,40720
2018-08-11,35493
2018-08-12,29971
2018-08-13,31349
2018-08-14,32220
2018-08-15,32539
2018-08-16,35426
2018-08-17,42700
2018-08-18,34190
2018-08-19,24420
2018-08-20,30119
2018-08-21,30627
2018-08-22,31759
2018-08-23,34789
2018-08-24,40591
2018-08-25,38068
2018-08-26,27698
2018-08-27,30195
2018-08-28,30862
2018-08-29,31650
2018-08-30,30619
2018-08-31,39858
2018-09-01,33908
2018-09-02,26011
2018-09-03,29353
2018-09-04,31220
2018-09-05,32702
2018-09-06,33763
2018-09-07,40982
2018-09-08,37428
2018-09-09,30341
2018-09-10,31056
2018-09-11,31829
2018-09-12,32553
2018-09-13,34086
2018-09-14,39979
2018-09-15,28895
2018-09-16,26178
2018-09-17,31345
2018-09-18,30576
2018-09-19,31137
2018-09-20,35411
2018-09-21,41680
2018-09-22,35666
2018-09-23,28596
2018-09-24,34958
2018-09-25,35138
2018-09-26,38307
2018-09-27,42030
2018-09-28,34072
2018-09-29,33131
2018-09-30,29408
2018-10-01,36533
2018-10-02,35693
2018-10-03,36140
2018-10-04,38044
2018-10-05,44623
2018-10-06,38079
2018-10-07,27489
2018-10-08,31278
2018-10-09,28531
2018-10-10,32467
2018-10-11,34546
2018-10-12,42363
2018-10-13,41435
2018-10-14,33077
2018-10-15,31681
2018-10-16,29907
2018-10-17,32649
2018-10-18,33542
2018-10-19,40366
2018-10-20,32945
2018-10-21,33235
2018-10-22,32004
2018-10-23,33586
2018-10-24,35022
2018-10-25,36399
2018-10-26,41823
2018-10-27,38725
2018-10-28,28401
2018-10-29,31992
2018-10-30,31879
2018-10-31,26563
2018-11-01,35388
2018-11-02,39525
2018-11-03,36579
2018-11-04,28907
2018-11-05,44127
2018-11-06,21567
2018-11-07,32787
2018-11-08,36702
2018-11-09,40870
2018-11-10,35058
2018-11-11,28264
2018-11-12,33313
2018-11-13,33990
2018-11-14,35346
2018-11-15,38126
2018-11-16,42040
2018-11-17,37522
2018-11-18,31463
2018-11-19,35492
2018-11-20,33350
2018-11-21,35739
2018-11-22,37401
2018-11-23,39787
2018-11-24,38128
2018-11-25,33314
2018-11-26,34422
2018-11-27,35308
2018-11-28,35580
2018-11-29,36937
2018-11-30,46394
2018-12-01,40607
2018-12-02,31465
2018-12-03,34138
2018-12-04,37455
2018-12-05,41481
2018-12-06,40007
2018-12-07,38053
2018-12-08,41621
2018-12-09,33207
2018-12-10,39235
2018-12-11,39820
2018-12-12,39274
2018-12-13,33560
2018-12-14,42199
2018-12-15,44814
2018-12-16,34865
2018-12-17,41117
2018-12-18,41669
2018-12-19,42090
2018-12-20,44257
2018-12-21,43610
2018-12-22,47510
2018-12-23,49272
2018-12-24,43094
2018-12-25,29825
2018-12-26,49699
2018-12-27,33721
2018-12-28,36877
2018-12-29,34694
2018-12-30,31234
2018-12-31,44962
2019-01-01,33237
2019-01-02,34536
2019-01-03,34299
2019-01-04,26737
2019-01-05,31750
2019-01-06,28513
2019-01-07,34676
2019-01-08,34224
2019-01-09,35649
2019-01-10,36078
2019-01-11,38363
2019-01-12,34803
2019-01-13,28452
2019-01-14,31894
2019-01-15,31812
2019-01-16,35119
2019-01-17,35089
2019-01-18,40335
2019-01-19,37222
2019-01-20,32114
2019-01-21,35029
2019-01-22,34941
2019-01-23,37656
2019-01-24,32401
2019-01-25,30321
2019-01-26,42501
2019-01-27,31260
2019-01-28,25387
2019-01-29,30543
2019-01-30,28447
2019-01-31,32327
2019-02-01,39427
2019-02-02,32085
2019-02-03,22833
2019-02-04,31301
2019-02-05,33187
2019-02-06,30881
2019-02-07,34245
2019-02-08,39506
2019-02-09,34763
2019-02-10,32387
2019-02-11,32336
2019-02-12,30034
2019-02-13,34695
2019-02-14,38642
2019-02-15,40987
2019-02-16,38791
2019-02-17,28462
2019-02-18,31984
2019-02-19,33245
2019-02-20,34548
2019-02-21,37424
2019-02-22,42070
2019-02-23,41073
2019-02-24,36773
