ds,location_4,location_41
2023-04-01 00:00:00,903,975
2023-04-01 01:00:00,490,652
2023-04-01 02:00:00,377,434
2023-04-01 03:00:00,216,336
2023-04-01 04:00:00,124,115
2023-04-01 05:00:00,72,195
2023-04-01 06:00:00,138,328
2023-04-01 07:00:00,249,466
2023-04-01 08:00:00,733,1094
2023-04-01 09:00:00,1370,2006
2023-04-01 10:00:00,2150,2691
2023-04-01 11:00:00,3187,3565
2023-04-01 12:00:00,3746,3671
2023-04-01 13:00:00,4264,4022
2023-04-01 14:00:00,4827,4472
2023-04-01 15:00:00,4868,4266
2023-04-01 16:00:00,4399,4233
2023-04-01 17:00:00,4237,4199
2023-04-01 18:00:00,4594,4682
2023-04-01 19:00:00,4205,4253
2023-04-01 20:00:00,3584,3039
2023-04-01 21:00:00,2821,2972
2023-04-01 22:00:00,2380,2834
2023-04-01 23:00:00,1502,1775
2023-04-02 00:00:00,945,1227
2023-04-02 01:00:00,697,852
2023-04-02 02:00:00,543,663
2023-04-02 03:00:00,249,178
2023-04-02 04:00:00,86,135
2023-04-02 05:00:00,86,202
2023-04-02 06:00:00,153,329
2023-04-02 07:00:00,343,618
2023-04-02 08:00:00,651,952
2023-04-02 09:00:00,1173,1615
2023-04-02 10:00:00,2073,2478
2023-04-02 11:00:00,3127,3344
2023-04-02 12:00:00,3563,3829
2023-04-02 13:00:00,3723,3794
2023-04-02 14:00:00,4525,4232
2023-04-02 15:00:00,3913,3798
2023-04-02 16:00:00,3823,3583
2023-04-02 17:00:00,3781,3609
2023-04-02 18:00:00,3759,4137
2023-04-02 19:00:00,3375,3462
2023-04-02 20:00:00,2031,2102
2023-04-02 21:00:00,1734,1918
2023-04-02 22:00:00,854,1118
2023-04-02 23:00:00,459,516
2023-04-03 00:00:00,235,233
2023-04-03 01:00:00,119,139
2023-04-03 02:00:00,69,62
2023-04-03 03:00:00,36,58
2023-04-03 04:00:00,65,70
2023-04-03 05:00:00,73,159
2023-04-03 06:00:00,174,526
2023-04-03 07:00:00,444,1097
2023-04-03 08:00:00,1033,2343
2023-04-03 09:00:00,1414,2278
2023-04-03 10:00:00,2247,2585
2023-04-03 11:00:00,3131,3079
2023-04-03 12:00:00,3636,3628
