ds,meter,y
2006-12-16,sub_metering_1,0.0
2006-12-17,sub_metering_1,2033.0
2006-12-18,sub_metering_1,1063.0
2006-12-19,sub_metering_1,839.0
2006-12-20,sub_metering_1,0.0
2006-12-21,sub_metering_1,1765.0
2006-12-22,sub_metering_1,3151.0
2006-12-23,sub_metering_1,2669.0
2006-12-24,sub_metering_1,1703.0
2006-12-25,sub_metering_1,6620.0
2006-12-26,sub_metering_1,1086.0
2006-12-27,sub_metering_1,0.0
2006-12-28,sub_metering_1,2207.0
2006-12-29,sub_metering_1,1252.0
2006-12-30,sub_metering_1,3072.0
2006-12-31,sub_metering_1,0.0
2007-01-01,sub_metering_1,0.0
2007-01-02,sub_metering_1,0.0
2007-01-03,sub_metering_1,0.0
2007-01-04,sub_metering_1,1051.0
2007-01-05,sub_metering_1,1483.0
2007-01-06,sub_metering_1,1336.0
2007-01-07,sub_metering_1,1987.0
2007-01-08,sub_metering_1,0.0
2007-01-09,sub_metering_1,1688.0
2007-01-10,sub_metering_1,771.0
2007-01-11,sub_metering_1,1378.0
2007-01-12,sub_metering_1,0.0
2007-01-13,sub_metering_1,7806.0
2007-01-14,sub_metering_1,1777.0
2007-01-15,sub_metering_1,1099.0
2007-01-16,sub_metering_1,2063.0
2007-01-17,sub_metering_1,3500.0
2007-01-18,sub_metering_1,0.0
2007-01-19,sub_metering_1,2103.0
2007-01-20,sub_metering_1,4324.0
2007-01-21,sub_metering_1,10346.0
2007-01-22,sub_metering_1,1054.0
2007-01-23,sub_metering_1,0.0
2007-01-24,sub_metering_1,3464.0
2007-01-25,sub_metering_1,1158.0
2007-01-26,sub_metering_1,1163.0
2007-01-27,sub_metering_1,1170.0
2007-01-28,sub_metering_1,3466.0
2007-01-29,sub_metering_1,1123.0
2007-01-30,sub_metering_1,1123.0
2007-01-31,sub_metering_1,0.0
2007-02-01,sub_metering_1,1170.0
2007-02-02,sub_metering_1,0.0
2007-02-03,sub_metering_1,4746.0
2007-02-04,sub_metering_1,3391.0
2007-02-05,sub_metering_1,896.0
2007-02-06,sub_metering_1,1185.0
2007-02-07,sub_metering_1,3299.0
2007-02-08,sub_metering_1,2226.0
2007-02-09,sub_metering_1,0.0
2007-02-10,sub_metering_1,5071.0
2007-02-11,sub_metering_1,2430.0
2007-02-12,sub_metering_1,2227.0
2007-02-13,sub_metering_1,0.0
2007-02-14,sub_metering_1,3295.0
2007-02-15,sub_metering_1,0.0
2007-02-16,sub_metering_1,1148.0
2007-02-17,sub_metering_1,1765.0
2007-02-18,sub_metering_1,6107.0
2007-02-19,sub_metering_1,1634.0
2007-02-20,sub_metering_1,2058.0
2007-02-21,sub_metering_1,3527.0
2007-02-22,sub_metering_1,1409.0
2007-02-23,sub_metering_1,0.0
2007-02-24,sub_metering_1,0.0
2007-02-25,sub_metering_1,0.0
2007-02-26,sub_metering_1,0.0
2007-02-27,sub_metering_1,0.0
2007-02-28,sub_metering_1,0.0
2007-03-01,sub_metering_1,0.0
2007-03-02,sub_metering_1,0.0
2007-03-03,sub_metering_1,0.0
2007-03-04,sub_metering_1,1476.0
2007-03-05,sub_metering_1,5727.0
2007-03-06,sub_metering_1,0.0
2007-03-07,sub_metering_1,1076.0
2007-03-08,sub_metering_1,2180.0
2007-03-09,sub_metering_1,1093.0
2007-03-10,sub_metering_1,4130.0
2007-03-11,sub_metering_1,4810.0
2007-03-12,sub_metering_1,1403.0
