"ds","y"
2007-12-10,14629
2007-12-11,5012
2007-12-12,3582
2007-12-13,3205
2007-12-14,2680
2007-12-15,2401
2007-12-16,4510
2007-12-17,6831
2007-12-18,4370
2007-12-19,3196
2007-12-20,2642
2007-12-21,2349
2007-12-22,1862
2007-12-23,4382
2007-12-24,5542
2007-12-25,2572
2007-12-26,2576
2007-12-27,3140
2007-12-28,2770
2007-12-29,2536
2007-12-30,16369
2007-12-31,11920
2008-01-01,3999
2008-01-02,4604
2008-01-03,3874
2008-01-04,3317
2008-01-05,2836
2008-01-06,13484
2008-01-07,6952
2008-01-08,4585
2008-01-09,3821
2008-01-10,3951
2008-01-11,3995
2008-01-12,3638
2008-01-13,21950
2008-01-14,25011
2008-01-15,7584
2008-01-16,5251
2008-01-17,5155
2008-01-18,4446
2008-01-19,3726
2008-01-20,6898
2008-01-21,54025
2008-01-22,12644
2008-01-23,7505
2008-01-24,5133
2008-01-25,4893
2008-01-26,4525
2008-01-27,5285
2008-01-28,6226
2008-01-29,5620
2008-01-30,5846
2008-02-01,6797
2008-02-02,5105
2008-02-03,16286
2008-02-04,179415
2008-02-05,41576
2008-02-06,16183
2008-02-07,11110
2008-02-08,7870
2008-02-09,5373
2008-02-10,5527
2008-02-11,5521
2008-02-12,3698
2008-02-13,3181
2008-02-14,3339
2008-02-15,2439
2008-02-16,2054
2008-02-17,1912
2008-02-18,2234
2008-02-19,2413
2008-02-20,2227
2008-02-21,2365
2008-02-22,2198
2008-02-23,1601
2008-02-24,2726
2008-02-25,2052
2008-02-26,1946
2008-02-27,1935
2008-02-29,1905
2008-03-02,1536
2008-03-05,3377
2008-03-06,2664
2008-03-07,2489
2008-03-08,1610
2008-03-09,2476
2008-03-10,1886
2008-03-11,1898
2008-03-12,2184
2008-03-13,1767
2008-03-14,1570
2008-03-15,1133
2008-03-16,1234
2008-03-17,1556
2008-03-18,1520
2008-03-19,1578
2008-03-20,1448
2008-03-21,1410
2008-03-22,1099
2008-03-23,1292
2008-03-24,2343
2008-03-25,1842
2008-03-26,1659
2008-03-27,1707
2008-03-28,1378
2008-03-29,1087
2008-03-30,1355
2008-03-31,1497
2008-04-01,1555
2008-04-02,1834
2008-04-03,1625
2008-04-04,1460
2008-04-05,1441
2008-04-06,1298
2008-04-07,2021
2008-04-08,2034
2008-04-09,1679
2008-04-10,3576
2008-04-11,1635
2008-04-12,1220
2008-04-13,1189
2008-04-14,1671
2008-04-15,1793
2008-04-16,1613
2008-04-17,2171
2008-04-18,2184
2008-04-19,1421
2008-04-20,3446
2008-04-21,6087
2008-04-22,3265
2008-04-23,2541
2008-04-24,2098
2008-04-25,3044
2008-04-26,2515
2008-04-27,2270
2008-04-28,2530
2008-04-29,2052
2008-04-30,2089
2008-05-01,1898
2008-05-02,1704
2008-05-03,1180
2008-05-04,1126
2008-05-05,1623
2008-05-06,1470
2008-05-07,1574
2008-05-08,1831
2008-05-09,1738
2008-05-10,1230
2008-05-11,1243
2008-05-12,1730
2008-05-13,1506
2008-05-14,1653
2008-05-15,1640
2008-05-16,1472
2008-05-17,1085
2008-05-18,1089
2008-05-19,1688
2008-05-20,1575
2008-05-21,1728
2008-05-22,1585
2008-05-23,1266
2008-05-24,930
2008-05-25,983
2008-05-26,1069
2008-05-27,1431
2008-05-28,1437
2008-05-29,1430
2008-05-30,1284
2008-05-31,959
2008-06-03,1279
2008-06-04,1362
2008-06-05,1342
2008-06-06,1356
2008-06-07,1321
2008-06-08,916
2008-06-09,975
2008-06-10,1317
2008-06-11,1398
2008-06-12,1330
2008-06-13,1318
2008-06-14,1065
2008-06-15,1010
2008-06-16,1370
2008-06-17,1567
2008-06-18,1398
2008-06-19,1371
2008-06-20,1291
2008-06-21,1396
2008-06-22,1082
2008-06-23,1057
2008-06-24,1409
2008-06-25,1288
2008-06-26,1252
2008-06-27,1202
2008-06-28,1110
2008-06-29,951
2008-06-30,923
2008-07-02,1249
2008-07-03,1447
2008-07-04,1140
2008-07-05,983
2008-07-06,1051
2008-07-07,1474
2008-07-08,1803
2008-07-09,1496
2008-07-10,1346
2008-07-11,1370
2008-07-12,1419
2008-08-01,1679
2008-08-02,1233
2008-08-03,1408
2008-08-04,3932
2008-08-05,2011
2008-08-06,2088
2008-08-07,3018
2008-08-08,2780
2008-08-09,1824
2008-08-10,1847
2008-08-11,1978
2008-08-12,1809
2008-08-13,1588
2008-08-14,1612
2008-08-15,1484
2008-08-16,1444
2008-08-17,1623
2008-08-18,1839
2008-08-19,2722
2008-08-20,2260
2008-08-21,2144
2008-08-22,2057
2008-08-23,1687
2008-08-24,1958
2008-08-25,2831
2008-08-26,2430
2008-08-27,3003
2008-08-28,2418
2008-08-29,2522
2008-08-30,1835
2008-08-31,2054
2008-09-01,2579
2008-09-02,2878
2008-09-03,2312
2008-09-04,3232
2008-09-05,3866
2008-09-06,2368
2008-09-07,3560
2008-09-08,10740
2008-09-09,4182
2008-09-10,2516
2008-09-11,2462
2008-09-12,2482
2008-09-13,1910
2008-09-14,5193
2008-09-15,3670
2008-09-16,3241
2008-09-17,2419
2008-09-18,2145
2008-09-19,2080
2008-09-20,1901
2008-09-21,3825
2008-09-22,4040
2008-09-23,3384
2008-09-24,2222
2008-09-25,2130
2008-09-26,1857
2008-09-27,2768
2008-09-28,2756
2008-09-29,3084
2008-09-30,2266
2008-10-01,2196
2008-10-02,1719
2008-10-03,1622
2008-10-04,1550
2008-10-05,3299
2008-10-06,3486
2008-10-07,2896
2008-10-08,2625
2008-10-09,2070
2008-10-10,1974
2008-10-11,1544
2008-10-12,3560
2008-10-13,4192
2008-10-14,4801
2008-10-15,2627
2008-10-16,2247
2008-10-17,1791
2008-10-18,1597
2008-10-19,3215
2008-10-20,3517
2008-10-23,1969
2008-10-24,2013
2008-10-25,1433
2008-10-26,3103
2008-10-27,3325
2008-10-28,6680
2008-10-29,2315
2008-10-30,1774
2008-10-31,1551
2008-11-01,1404
2008-11-02,2802
2008-11-03,8397
2008-11-04,3106
2008-11-05,1646
2008-11-06,2904
2008-11-07,2364
2008-11-08,1757
2008-11-09,3072
2008-11-10,6182
2008-11-11,2799
2008-11-12,2133
2008-11-13,1959
2008-11-14,2232
2008-11-15,1424
2008-11-16,3123
2008-11-17,3273
2008-11-18,2362
2008-11-19,1802
2008-11-20,1905
2008-11-21,1803
2008-11-22,1499
2008-11-23,2804
2008-11-24,8593
2008-11-25,3620
2008-11-26,1843
2008-11-27,1903
2008-11-28,2239
2008-11-29,2010
2008-11-30,4910
2008-12-01,3991
2008-12-02,2683
2008-12-03,2417
2008-12-04,2112
2008-12-05,2019
2008-12-06,1865
2008-12-07,3757
2008-12-08,3001
2008-12-09,2588
2008-12-10,2202
2008-12-11,1990
2008-12-12,2289
2008-12-13,1558
2008-12-14,3076
2008-12-15,4422
2008-12-16,2499
2008-12-17,3251
2008-12-18,2372
2008-12-19,5937
2008-12-20,2315
2008-12-21,2866
2008-12-22,5567
2008-12-23,2971
2008-12-24,2040
2008-12-25,1689
2008-12-26,1742
2008-12-27,1718
2008-12-28,3833
2008-12-29,5194
2008-12-30,4088
2008-12-31,4064
2009-01-01,2342
2009-01-02,6689
2009-01-03,9154
2009-01-04,25689
2009-01-05,10592
2009-01-06,4602
2009-01-07,3421
2009-01-08,3118
2009-01-09,3748
2009-01-10,3433
2009-01-11,10053
2009-01-12,6203
2009-01-13,4965
2009-01-14,3308
2009-01-15,2836
2009-01-16,2571
2009-01-17,2114
2009-01-18,3116
2009-01-19,6641
2009-01-20,2514
2009-01-21,2386
2009-01-22,2794
2009-01-23,2148
2009-01-24,1617
2009-01-25,1829
2009-01-26,2129
2009-01-27,2415
2009-01-28,2460
2009-01-29,2502
2009-01-30,2715
2009-01-31,2213
2009-02-01,4806
2009-02-02,9410
2009-02-03,3172
2009-02-04,3186
2009-02-05,3164
2009-02-06,3132
2009-02-07,2350
2009-02-08,3287
2009-02-09,3036
2009-02-10,2032
2009-02-11,2547
2009-02-12,2365
2009-02-13,1864
2009-02-14,1529
2009-02-15,1372
2009-02-16,1663
2009-02-17,1681
2009-02-18,1632
2009-02-19,1800
2009-02-20,1635
2009-02-21,1106
2009-02-22,1234
2009-02-23,1779
2009-02-24,1942
2009-02-25,2097
2009-02-26,1762
2009-02-27,1759
2009-02-28,1355
2009-03-01,1546
2009-03-02,1776
2009-03-03,1654
2009-03-04,1641
2009-03-05,1725
2009-03-06,1675
2009-03-07,1194
2009-03-08,1354
2009-03-09,1566
2009-03-10,1487
2009-03-11,1747
2009-03-12,2615
2009-03-13,1406
2009-03-14,1186
2009-03-15,1368
2009-03-16,1532
2009-03-17,1469
2009-03-18,1479
2009-03-19,1456
2009-03-20,1483
2009-03-21,1167
2009-03-22,1315
2009-03-23,1818
2009-03-24,2630
2009-03-25,1956
2009-03-26,1583
2009-03-27,1418
2009-03-28,1160
2009-03-29,1813
2009-03-30,1708
2009-03-31,1775
2009-04-01,1776
2009-04-02,1843
2009-04-03,2121
2009-04-04,1400
2009-04-05,1384
2009-04-06,1544
2009-04-07,1671
2009-04-08,1794
2009-04-09,1503
2009-04-10,1263
2009-04-11,1107
